country,sex,measure,age,HH,HU,HD,UH,UU,UD,version
Italy,female,SRH,97,0.5011,0.453,0.04588,0.02692,0.6916,0.2815,1
Italy,female,SRH,98,0.4868,0.4638,0.04938,0.02478,0.6695,0.3057,1
Italy,female,SRH,99,0.4725,0.4745,0.05309,0.02274,0.6462,0.3311,1
Italy,female,SRH,100,0.4581,0.4849,0.05702,0.02081,0.6218,0.3574,1
Italy,female,SRH,101,0.4438,0.495,0.0612,0.01898,0.5964,0.3847,1
Italy,female,SRH,102,0.4294,0.5049,0.06561,0.01725,0.5701,0.4126,1
Italy,female,SRH,103,0.4152,0.5145,0.07027,0.01563,0.5432,0.4411,1
Italy,female,SRH,104,0.401,0.5238,0.07519,0.01411,0.5159,0.47,1
Italy,female,SRH,105,0.3869,0.5327,0.08037,0.0127,0.4882,0.4991,1
Italy,female,SRH,106,0.373,0.5412,0.08582,0.01139,0.4605,0.5281,1
Italy,female,SRH,107,0.3592,0.5493,0.09156,0.01018,0.4328,0.557,1
Italy,female,SRH,108,0.3455,0.5569,0.09757,0.009069,0.4055,0.5855,1
Italy,female,SRH,109,0.332,0.5641,0.1039,0.008052,0.3786,0.6133,1
Italy,female,SRH,110,0.3187,0.5708,0.1105,0.007126,0.3524,0.6405,1
Italy,female,SRH,111,0.3057,0.5769,0.1174,0.006287,0.3269,0.6668,1
Italy,female,SRH,112,0.2929,0.5826,0.1246,0.00553,0.3024,0.692,1
Italy,female,SRH,113,0.2803,0.5876,0.1321,0.00485,0.279,0.7162,1
Italy,female,SRH,114,0.268,0.5922,0.1399,0.004242,0.2566,0.7392,1
Italy,female,SRH,115,0.2559,0.5961,0.148,0.003701,0.2354,0.7609,1
Italy,female,SRH,116,0.2442,0.5994,0.1564,0.003221,0.2155,0.7813,1
Italy,female,SRH,117,0.2327,0.6021,0.1652,0.002796,0.1967,0.8005,1
Italy,female,SRH,118,0.2216,0.6042,0.1742,0.002423,0.1792,0.8183,1
Italy,female,SRH,119,0.2107,0.6057,0.1836,0.002095,0.163,0.8349,1
Italy,female,SRH,120,0.2002,0.6066,0.1932,0.001808,0.1479,0.8503,1
Italy,female,GALI,50,0.9522,0.04776,7.681e-5,0.37,0.628,0.00198,1
Italy,female,GALI,51,0.9488,0.0511,9.339e-5,0.3576,0.6402,0.002226,1
Italy,female,GALI,52,0.9452,0.05465,1.135e-4,0.3454,0.6521,0.002501,1
Italy,female,GALI,53,0.9414,0.05843,1.379e-4,0.3334,0.6638,0.002808,1
Italy,female,GALI,54,0.9374,0.06246,1.676e-4,0.3215,0.6753,0.003151,1
Italy,female,GALI,55,0.933,0.06675,2.036e-4,0.3099,0.6865,0.003533,1
Italy,female,GALI,56,0.9284,0.07131,2.471e-4,0.2985,0.6975,0.003959,1
Italy,female,GALI,57,0.9235,0.07615,3e-4,0.2874,0.7082,0.004434,1
Italy,female,GALI,58,0.9183,0.08129,3.639e-4,0.2765,0.7185,0.004962,1
Italy,female,GALI,59,0.9128,0.08675,4.414e-4,0.2658,0.7286,0.00555,1
Italy,female,GALI,60,0.9069,0.09253,5.351e-4,0.2554,0.7384,0.006203,1
Italy,female,GALI,61,0.9007,0.09866,6.484e-4,0.2453,0.7478,0.006929,1
Italy,female,GALI,62,0.8941,0.1051,7.854e-4,0.2354,0.7569,0.007736,1
Italy,female,GALI,63,0.8871,0.112,9.507e-4,0.2257,0.7656,0.008631,1
Italy,female,GALI,64,0.8796,0.1192,0.00115,0.2164,0.774,0.009623,1
Italy,female,GALI,65,0.8718,0.1268,0.001391,0.2073,0.782,0.01072,1
Italy,female,GALI,66,0.8634,0.1349,0.001681,0.1984,0.7896,0.01194,1
Italy,female,GALI,67,0.8546,0.1433,0.00203,0.1899,0.7968,0.01329,1
Italy,female,GALI,68,0.8453,0.1522,0.00245,0.1816,0.8036,0.01479,1
Italy,female,GALI,69,0.8355,0.1615,0.002955,0.1735,0.81,0.01644,1
Italy,female,GALI,70,0.8252,0.1712,0.003561,0.1657,0.816,0.01827,1
Italy,female,GALI,71,0.8143,0.1814,0.004288,0.1582,0.8215,0.02028,1
Italy,female,GALI,72,0.8028,0.192,0.005158,0.1509,0.8266,0.02251,1
Italy,female,GALI,73,0.7908,0.203,0.006199,0.1439,0.8311,0.02497,1
Italy,female,GALI,74,0.7781,0.2145,0.007442,0.1371,0.8352,0.02767,1
Italy,female,GALI,75,0.7648,0.2263,0.008926,0.1305,0.8388,0.03065,1
Italy,female,GALI,76,0.7508,0.2385,0.01069,0.1242,0.8418,0.03393,1
Italy,female,GALI,77,0.7361,0.2511,0.01279,0.1181,0.8443,0.03754,1
Italy,female,GALI,78,0.7208,0.2639,0.01528,0.1123,0.8462,0.0415,1
Italy,female,GALI,79,0.7047,0.2771,0.01823,0.1066,0.8476,0.04584,1
Italy,female,GALI,80,0.6879,0.2904,0.02171,0.1012,0.8482,0.0506,1
