sex,race,age,HH,HU,HD,UH,UU,UD
m,black,53,0.91762066,0.07840345,0.003975890000000001,0.15990885,0.81180398,0.02828717
m,black,54,0.91479906,0.08082164,0.0043793,0.15937177999999996,0.8105525,0.03007572
m,black,55,0.91187252,0.08330405000000005,0.004823430000000001,0.15881796000000004,0.80920841,0.03197363
m,black,56,0.90883619,0.08585143999999997,0.0053123699999999986,0.15824645,0.80776644,0.03398711
m,black,57,0.9056848909431511,0.08846451911535477,0.005850589941494099,0.15765627842343727,0.8062210619377893,0.03612265963877341
m,black,58,0.9024131700000001,0.09114385999999998,0.006442969999999998,0.15704641842953576,0.8045665219543349,0.03838705961612939
m,black,59,0.89901516,0.09388993000000005,0.007094910000000001,0.15641581000000002,0.8027967899999999,0.0407874
m,black,60,0.8954846689548467,0.09670304096703038,0.007812290078122901,0.15576335,0.80090558,0.04333106999999999
m,black,61,0.89181505,0.09958336,0.00860159,0.15508789844912102,0.7988863420111365,0.046025759539742396
m,black,62,0.88799927,0.10253085999999999,0.009469869999999998,0.1543882584561174,0.7967322720326772,0.04887946951120529
m,black,63,0.88402982,0.10554531000000002,0.010424869999999998,0.1536632,0.79443631,0.05190049000000001
m,black,64,0.8798987012010131,0.10862622891373769,0.011475069885249297,0.15291147000000002,0.79199113,0.0550974
m,black,65,0.8755974,0.11177288999999997,0.012629710000000002,0.15213174847868252,0.7893891521061085,0.058479099415209
m,black,66,0.87111683,0.11498426999999999,0.013898899999999995,0.15132269151322691,0.7866225978662259,0.062054710620547085
m,black,67,0.86644734,0.11825900000000006,0.015293660000000011,0.15048293,0.7836834,0.06583367
m,black,68,0.8615786513842135,0.12159534878404653,0.016825999831740004,0.14961105000000002,0.78056332,0.06982563000000001
m,black,69,0.8564998500000001,0.12499116999999998,0.018508980000000005,0.14870563000000003,0.7772539199999999,0.07404045
m,black,70,0.85119934,0.12844384999999997,0.020356810000000003,0.14776519999999999,0.77374657,0.07848823
m,black,71,0.84566481,0.13195027,0.022384919999999992,0.14678829853211706,0.770032502299675,0.08317919916820803
m,black,72,0.8398832399999999,0.13550676,0.024609999999999993,0.14577344,0.7661028500000001,0.08812371000000001
m,black,73,0.8338408616615913,0.13910899860891002,0.027050139729498605,0.14471913855280868,0.7619486323805137,0.09333222906667774
m,black,74,0.82752315,0.142752,0.029724850000000004,0.14362390999999997,0.75756086,0.09881523
m,black,75,0.82091482,0.14643003,0.03265515,0.1424862885751371,0.7529305224706948,0.10458318895416813
m,black,76,0.8139998118600019,0.15013652849863468,0.0358636596413634,0.14130481999999997,0.74804869,0.11064649
m,black,77,0.80676137,0.15386404999999997,0.03937457999999999,0.14007809140078092,0.7429065274290653,0.11701538117015382
m,black,78,0.79918201,0.15760419,0.043213800000000004,0.13880474,0.73749538,0.12369988
m,black,79,0.7912436,0.16134750999999997,0.047408889999999995,0.1374834486251655,0.7318068426819316,0.13070970869290294
m,black,80,0.78292743,0.16508346999999998,0.051989099999999996,0.13611297,0.7258328500000001,0.13805418000000003
m,black,81,0.7742143322578567,0.16880032831199668,0.0569853394301466,0.13469215000000004,0.7195657,0.14574215
m,black,82,0.7650847800000001,0.17248511999999996,0.0624301,0.13321993,0.7129982,0.15378186999999996
m,black,83,0.75551904,0.17612357999999997,0.06835737999999998,0.13169538000000003,0.7061237399999999,0.16218088000000003
m,black,84,0.74549742,0.17970006000000002,0.07480252,0.13011768,0.69893636,0.17094596
m,black,85,0.73500045,0.18319756000000004,0.08180199,0.12848618000000003,0.6914309,0.18008292000000004
m,black,86,0.72400921,0.18659765999999997,0.08939313,0.12680038,0.68360306,0.18959656
m,black,87,0.7125056500000001,0.18988052,0.09761383000000001,0.12505999,0.67544949,0.19949052000000003
m,black,88,0.70047294,0.19302496,0.10650210000000003,0.12326490000000001,0.66696796,0.20976713999999996
