sex,measure,age,HH,HU,HD,UH,UU,UD
m,ADL,69,0.946,0.03686,0.01709,0.1889,0.7296,0.08144
m,ADL,70,0.9424,0.03916,0.01847,0.1859,0.7274,0.0867
m,ADL,71,0.9385,0.04159,0.01995,0.1828,0.725,0.09225
m,ADL,72,0.9343,0.04416,0.02154,0.1796,0.7222,0.09812
m,ADL,73,0.9299,0.04688,0.02325,0.1765,0.7192,0.1043
m,ADL,74,0.9252,0.04974,0.02509,0.1733,0.7158,0.1109
m,ADL,75,0.9202,0.05277,0.02706,0.1701,0.7121,0.1178
m,ADL,76,0.9149,0.05595,0.02918,0.1669,0.7081,0.125
m,ADL,77,0.9092,0.05931,0.03145,0.1637,0.7037,0.1327
m,ADL,78,0.9033,0.06284,0.033890000000000003,0.1604,0.6989,0.1407
m,ADL,79,0.897,0.06655,0.03649,0.1571,0.6938,0.1491
m,ADL,80,0.8903,0.07045,0.03929,0.1538,0.6883,0.1579
m,ADL,81,0.8832,0.07455,0.04227,0.1504,0.6824,0.1672
m,ADL,82,0.8757,0.07883,0.04546,0.1471,0.6761,0.1768
m,ADL,83,0.8678,0.08332,0.04885,0.1437,0.6694,0.1869
m,ADL,84,0.8595,0.08802,0.05248,0.1403,0.6623,0.1975
m,ADL,85,0.8507,0.09292,0.05634,0.1368,0.6547,0.2085
m,ADL,86,0.8415,0.09803,0.06044,0.1334,0.6468,0.2199
m,ADL,87,0.8319,0.1034,0.06479,0.1299,0.6384,0.2317
m,ADL,88,0.8217,0.1089,0.06942,0.1264,0.6296,0.244
m,ADL,89,0.8111,0.1146,0.07431,0.1229,0.6204,0.2567
m,ADL,90,0.79990000000000006,0.1206,0.07949,0.1194,0.6108,0.2698
m,ADL,91,0.7883,0.1267,0.08496,0.1158,0.6008,0.2834
m,ADL,92,0.7762,0.1331,0.09072,0.1123,0.5904,0.2973
m,ADL,93,0.7636,0.1396,0.0968,0.1088,0.5796,0.3116
m,ADL,94,0.7505,0.1464,0.1032,0.1053,0.5684,0.3263
m,ADL,95,0.7368,0.1533,0.1099,0.1018,0.5569,0.3414
m,ADL,96,0.7228,0.1604,0.1169,0.09828,0.545,0.3567
m,ADL,97,0.7082,0.1676,0.1242,0.0948,0.5328,0.3723
m,ADL,98,0.6932,0.1749,0.1319,0.09135,0.5204,0.3883
m,ADL,99,0.6777,0.1824,0.1398,0.08793,0.5077,0.4044
m,ADL,100,0.6619,0.19,0.1481,0.08455,0.4947,0.4208
m,ADL,101,0.6456,0.1977,0.1567,0.0812,0.4815,0.4373
m,ADL,102,0.629,0.2054,0.1656,0.0779,0.4682,0.4539
m,ADL,103,0.6121,0.2132,0.1747,0.07464,0.4547,0.4707
m,ADL,104,0.5949,0.221,0.1842,0.07144,0.441,0.4875
m,ADL,105,0.5774,0.2288,0.1939,0.0683,0.4274,0.5043
m,ADL,106,0.5597,0.2365,0.2038,0.06523,0.4136,0.5212
m,ADL,107,0.5418,0.2442,0.214,0.06222,0.3998,0.5379
m,ADL,108,0.5238,0.2518,0.2244,0.05928,0.3861,0.5546
m,ADL,109,0.5057,0.2593,0.235,0.05641,0.3724,0.5712
m,ADL,110,0.4876,0.2667,0.2457,0.05363,0.3588,0.5876
m,IADL,50,0.9907,0.006014,0.00325,0.2138,0.7505,0.03563
m,IADL,51,0.9899,0.006555,0.00355,0.2123,0.7502,0.03748
m,IADL,52,0.989,0.007144,0.003879,0.2107,0.7499,0.03942
