age,HH,HU,HD,UH,UU,UD
71,0.9149565,0.07636063000000004,0.008682870000000006,0.1393031386069686,0.807028601929714,0.05366825946331741
72,0.9111906108880939,0.07901938920980608,0.009789999902099994,0.13827014,0.80391718,0.05781267999999999
73,0.90721304,0.08175025000000002,0.011036710000000005,0.13719819,0.8005457199999999,0.06225609000000001
74,0.9030073100000001,0.08455249999999997,0.012440189999999995,0.13608500000000004,0.79689827,0.06701673000000001
75,0.89855542,0.08742495999999998,0.014019619999999997,0.13492824134928244,0.7929583479295835,0.07211341072113413
76,0.89383773,0.09036591000000005,0.015796360000000006,0.13372555,0.78870897,0.07756548000000002
77,0.88883277,0.09337301999999999,0.017794210000000005,0.13247451999999998,0.7841327799999999,0.08339269999999999
78,0.88351718,0.09644322000000002,0.0200396,0.13117273,0.77921211,0.08961515999999999
79,0.87786553,0.09957265000000001,0.02256182,0.12981777870182218,0.7739290522607095,0.09625316903746829
80,0.8718502300000001,0.10275650999999998,0.025393260000000004,0.12840725999999997,0.76826568,0.10332705999999998
81,0.86544142,0.10598892999999998,0.028569649999999995,0.12693885,0.7622040899999999,0.11085705999999998
82,0.85860687,0.10926286000000002,0.03213027,0.12541027999999999,0.7557266499999999,0.11886307000000002
83,0.85131194,0.11256991000000001,0.03611815000000001,0.12381940999999999,0.7488161400000001,0.12736445000000002
84,0.84351958,0.11590019,0.04058022999999999,0.12216422877835773,0.7414560125854399,0.13637975863620241
85,0.8351903383519035,0.1192421511924215,0.04556751045567511,0.12044290879557092,0.7336306026636941,0.14592648854073514
86,0.8262825,0.12258245000000004,0.05113505,0.11865384,0.72532539,0.15602077
87,0.816752298167523,0.12590572125905722,0.05734198057341981,0.1167956811679568,0.7165272871652729,0.16667703166677034
88,0.8065541880655419,0.12919450129194499,0.0642513106425131,0.11486737999999999,0.70722491,0.17790771
89,0.79564133,0.13242902999999998,0.07192964,0.11286825887131743,0.6974089230259108,0.18972281810277178
90,0.7839661600000001,0.13558716,0.08044668,0.110798,0.6870723400000001,0.20212966
91,0.77148117,0.13864428,0.08987455,0.10865674108656741,0.6762108267621083,0.21513243215132435
92,0.7581399,0.14157330000000004,0.10028680000000002,0.10644512,0.66482302,0.22873186
93,0.74389809,0.14434469000000003,0.11175722,0.10416426,0.6529108499999999,0.24292489
94,0.728715112712849,0.14692663853073362,0.12435824875641754,0.10181585,0.64047981,0.25770434000000003
95,0.71255565,0.14928525999999998,0.13815908999999998,0.09940217999999999,0.62753916,0.27305866000000006
96,0.6953914900000001,0.15138501,0.15322349999999998,0.09692612999999997,0.6141022,0.28897167
97,0.6772035732279643,0.15318919846810802,0.16960722830392772,0.09439120000000001,0.60018639,0.30542241000000003
98,0.65798418,0.15466061000000003,0.18735521000000002,0.09180151000000002,0.58581345,0.32238504000000007
99,0.63773905,0.15576240999999996,0.20649854,0.08916180089161801,0.5710093657100938,0.33982883339828834
100,0.6208514635401027,0.15756608282960746,0.22158245363028986,0.08648817405368017,0.5558735150577714,0.3576383108885485
101,0.5995159998151186,0.1580997509078822,0.24238424927699923,0.08376646920269705,0.5403116524442059,0.37592187835309704
102,0.5773618721279643,0.15820998405038691,0.2644281438216488,0.08101245809829821,0.524421879974214,0.3945656619274877
103,0.5544608648439108,0.15787452715386452,0.28766460800222465,0.07823301285244584,0.5082459407059794,0.41352104644157467
104,0.5309015504809038,0.15707625453244398,0.3120221949866522,0.07543540075933919,0.4918287754472875,0.43273582379337333
